,basy_zyzd_jbbm_for_str_8,basy_yydj,basy_ssjczbm1_for_str_8,HAOCAI-8-8-E,JCJY-8-8-E,YP-8-8-E,ZFY-8-8-E,记录条数-8-8
18,A02.000,6,,123.2628125,1920.3746875,720.8553125,3672.510625,32
104,A03.900,3,,57.925555555555555,666.5368888888889,602.3504444444444,2174.9539999999997,45
124,A03.901,3,,85.33565217391305,767.3665217391305,739.2011594202899,2648.3452173913042,69
168,A04.900,3,,54.99727272727273,790.2459090909091,546.8722727272727,2252.2909090909093,22
173,A04.900,5,,46.41,1127.643409090909,742.4193181818182,2539.9784090909093,44
181,A04.900,6,,61.01806451612903,1228.3114516129033,732.0679032258064,2845.931935483871,62
204,A04.900x,5,,56.40705882352941,755.0886764705882,366.2669117647059,1746.925882352941,68
213,A04.900x,6,,121.29851851851852,1143.0246913580247,451.60728395061733,2486.477777777778,81
248,A04.902,6,,94.94035714285714,1520.2210714285716,455.59071428571434,2920.7357142857145,28
276,A08.000,2,,56.79191176470588,678.4325,273.95735294117645,1521.3382352941176,68
280,A08.000,2,99.8300x,58.97609756097561,447.2317073170732,594.0821951219511,1617.5421951219512,41
281,A08.000,3,,51.83870333988212,587.152180746562,263.77681728880157,1439.9793713163065,509
292,A08.000,4,,86.03218749999999,712.328125,288.708125,1918.1684375,32
293,A08.000,5,,52.404694167852064,607.3307539118066,282.7687055476529,1561.8351920341393,703
295,A08.000,5,17.9500x,27.699047619047622,561.9047619047619,190.6261904761905,1390.6109523809525,21
315,A08.000,6,,67.638494404883,824.0099694811801,291.85007121057987,1854.98492370295,983
317,A08.000,6,17.9500x,134.23379310344828,611.7431034482759,365.0653448275862,1951.9953448275862,58
347,A08.000,6,93.3504,105.33901098901099,1354.5496703296703,891.2558241758242,3510.78989010989,91
352,A08.000,6,93.3910,77.20576923076923,958.2273076923077,550.9803846153847,2439.1673076923075,26
413,A09.000x,5,,69.9439393939394,1675.1390909090908,1304.249696969697,4243.092727272728,33
422,A09.000x,6,,131.67695652173913,3394.3508695652176,1817.3684782608696,6506.376304347826,46
445,A09.001,1,,40.02133333333333,754.2216666666667,1508.5066666666667,3104.9013333333337,30
450,A09.001,2,,23.88703703703704,755.0851851851852,783.2174074074073,1910.7929629629632,27
455,A09.001,3,,41.588,1344.8762857142856,854.9702857142856,2955.537142857143,35
464,A09.001,5,,41.07851351351351,1035.568581081081,502.6335135135135,2113.376756756757,148
472,A09.001,6,,65.1076530612245,1353.6204081632652,665.8753061224489,3063.7079591836737,98
500,A09.004,2,,32.01979166666667,917.5604166666667,723.038125,2225.766666666667,48
509,A09.004,3,,60.25770270270271,919.1273423423423,594.5738513513513,2307.3537612612613,444
510,A09.004,3,17.9500x,38.497692307692304,748.9615384615385,587.9,2272.5976923076923,26
523,A09.004,4,,65.252,912.0583333333333,658.872,2313.3226666666665,30
528,A09.004,5,,55.43232692307693,1056.0790384615384,524.4109807692308,2347.4626153846157,520
557,A09.004,6,,90.83544303797468,1404.801075949367,769.5578902953587,3287.3951265822784,474
562,A09.004,6,17.9500x,118.0442857142857,896.4180952380951,737.4414285714286,2831.817142857143,21
615,A09.007,3,,69.80316455696202,833.8329113924051,595.4378481012658,2336.900759493671,79
617,A09.007,5,,51.03173913043479,674.9391304347826,586.5104347826087,1931.1065217391304,23
622,A09.007,6,,85.70264150943396,1078.1345283018868,603.0718867924528,2500.4303773584907,53
630,A09.900,2,,17.44,1141.4652173913043,983.3626086956522,2694.4082608695653,23
632,A09.900,3,,42.37721739130435,787.4618260869565,597.9510434782609,2085.6,115
643,A09.900,5,,84.8480701754386,1128.8807017543859,479.35789473684207,2394.135789473684,57
654,A09.900,6,,67.67756097560977,1291.3058536585365,597.7382926829268,2741.1063414634145,41
664,A09.900x,1,,70.2903125,950.253125,1163.420625,3000.2071875,32
667,A09.900x,2,,56.06535714285714,936.9625595238094,831.7306547619048,2458.404702380952,168
680,A09.900x,3,,42.954549356223175,980.5226180257511,603.5818884120171,2171.214892703863,466
703,A09.900x,4,,73.61013698630137,1097.1686301369862,525.7967123287671,2373.409315068493,73
712,A09.900x,5,,47.535341365461846,1079.1994578313252,521.7037148594378,2249.732168674699,498
713,A09.900x,5,17.9500x,19.655238095238094,897.6619047619048,546.4604761904762,2164.631428571429,21
743,A09.900x,6,,72.76077160493827,1275.175524691358,607.4501543209876,2769.011450617284,324
750,A09.900x,6,17.9500x,105.94206896551725,1335.0827586206897,1002.4362068965518,3418.6827586206896,29
759,A09.900x,6,44.1300x,105.5875,2436.0436111111107,1382.4383333333333,5686.881944444444,36
794,A09.901,1,,63.263942307692304,881.9491346153847,1679.3769230769233,3882.798846153846,104
805,A09.901,2,,44.137956204379556,1128.7828467153286,920.7628832116789,2557.1463868613137,274
813,A09.901,3,,46.95129411764706,767.1680441176471,522.8658529411765,1906.6477352941176,680
836,A09.901,3,99.9205,7.5047727272727265,2318.0454545454545,713.4418181818181,3952.7011363636366,44
837,A09.901,4,,50.64296875,1054.9021875,396.76875,1993.4521875,64
843,A09.901,5,,36.3931663685152,908.315259391771,403.98125223613596,1931.1492307692306,559
847,A09.901,5,17.9500x,18.281052631578948,793.5947368421052,299.9422368421053,1890.4423684210526,76
876,A09.901,6,,61.6481007751938,1408.4106976744188,541.7731007751937,2771.3706589147287,258
882,A09.901,6,17.9500x,174.01913043478262,1130.4591304347828,712.7965217391304,3106.722391304348,46
917,A09.901,6,99.2100,102.88195121951219,571.2439024390244,586.9921951219512,2557.0648780487804,41
935,A09.902,3,,84.22999999999999,1232.2509433962264,886.8439622641511,2951.56679245283,53
944,A09.902,3,45.2302,63.372424242424245,1589.357575757576,1050.4539393939394,3530.282424242424,33
959,A09.902,5,,69.09863157894736,1353.0488421052632,991.872105263158,3328.6337894736844,95
966,A09.902,5,45.2302,53.64692307692307,1592.3615384615384,777.738653846154,3420.1553846153843,52
981,A09.902,6,,164.97682926829268,1953.7463414634149,1833.3924390243901,5167.332682926829,41
992,A09.902,6,45.2302,170.76791666666665,2368.951875,1284.0595833333334,5454.935625,48
1012,A09.903,3,,61.93631578947368,504.6247368421053,233.9672807017544,1402.1412280701754,114
1018,A09.903,5,,77.16962264150943,646.726603773585,255.9756603773585,1612.4684905660379,53
1023,A09.903,6,,181.35298245614032,1220.1259649122808,682.171052631579,3541.8871929824563,57
1045,A15.000,3,,178.65966666666665,1114.72,1564.16,4547.106333333333,30
1051,A15.000,5,,115.51168539325843,2242.0421348314608,1745.956404494382,5985.559887640449,89
1069,A15.000,6,,304.35331325301206,3336.3159036144575,2665.1930120481925,8459.187771084336,166
1077,A15.000,6,33.2403,528.8020512820513,4681.462051282051,2797.896923076923,11018.016923076922,39
1114,A15.000x,5,,155.80791666666667,2315.7335416666665,1601.5500694444445,5859.01125,144
1122,A15.000x,5,33.2403,218.66230769230768,2501.9084615384613,1210.251282051282,5920.388205128205,39
1147,A15.000x,6,,205.97029565217392,4868.475200000001,4276.715217391305,12442.637739130436,575
1158,A15.000x,6,33.2200x,228.83080645161291,7856.182258064516,5944.735887096775,18041.435161290323,124
1161,A15.000x,6,33.2400x,440.92783783783784,4835.619121621622,2343.899121621622,10420.47141891892,148
1163,A15.000x,6,33.2403,292.425,6547.396428571428,5430.405071428571,15930.747535714285,280
1164,A15.000x,6,33.2405,338.31304347826085,4772.182608695652,2489.0008695652173,9907.076956521738,23
1167,A15.000x,6,34.0401,507.0354285714286,7806.6,6285.746857142857,21357.902857142857,35
1232,A15.007,3,,165.8412962962963,1099.164814814815,1399.7296296296295,4017.9394444444447,54
1242,A15.007,5,,133.74291139240506,1909.115316455696,1851.4648101265823,5639.733037974684,79
1256,A15.007,6,,235.14404958677687,2786.205041322314,2470.803636363636,7788.933719008264,121
1280,A15.008,3,,42.483555555555554,982.7666666666667,1005.0268888888888,3617.2882222222224,45
1282,A15.008,5,,112.84757575757577,1938.392424242424,1553.3709090909092,5597.476363636364,33
1289,A15.008,6,,367.5269696969697,2822.516666666667,2105.497272727273,8495.163636363637,66
1357,A15.200,6,33.2400x,669.7039534883721,6743.59023255814,4237.853023255814,17244.08627906977,43
1361,A15.200,6,33.2600x,1327.5079999999998,6951.3616,2342.3923999999997,13765.375600000001,25
1382,A15.201,6,32.2001,15640.097096774194,6641.066774193549,4238.645483870968,39502.12580645161,31
1429,A15.300,3,,66.38015151515151,1246.621212121212,1341.892878787879,4239.462424242424,66
1438,A15.300,5,,73.56099999999999,1538.52,1440.1946666666665,4633.143666666667,30
1451,A15.300,6,,159.21821428571428,3480.0583333333334,1736.8030952380952,7444.514880952381,84
1455,A15.300,6,33.2200x,83.14458333333333,3454.4708333333333,1028.5670833333334,6525.028333333333,24
1458,A15.300,6,33.2400x,246.7646875,3237.6375,1372.811875,6784.4115624999995,32
1460,A15.300,6,33.2403,318.73296000000005,4034.1456000000003,2202.1225600000002,8679.3948,125
1487,A15.300v,6,,280.15341772151896,2999.987341772152,2378.4106329113924,8634.836202531646,79
1489,A15.300v,6,33.2400x,267.5856060606061,3716.7598484848486,1056.825606060606,8142.998333333334,66
1519,A15.307,6,,432.11595238095236,3601.599285714286,3411.6071428571427,11150.567619047619,42
1597,A15.601,6,34.2000,721.35375,5620.2795,1824.435,12587.485499999999,40
1645,A16.000,5,,213.14953488372095,2284.0813953488373,2603.287906976744,7529.481627906977,43
1651,A16.000,5,33.2403,268.39037037037036,2715.140740740741,2034.2433333333333,7793.892962962964,27
1658,A16.000,6,,194.46213740458015,3136.9026717557254,1817.1290839694657,6882.116030534351,131
1663,A16.000,6,33.2200x,132.8947619047619,3386.1166666666663,1205.9414285714286,6590.568095238095,21
1665,A16.000,6,33.2400x,427.58884615384613,4424.4144230769225,1996.4371153846153,9732.423269230769,52
1667,A16.000,6,33.2403,310.0057954545455,3875.5904545454546,1729.3943181818183,8205.21056818182,88
1714,A16.007,3,,131.07653846153846,1093.576923076923,1449.4199999999998,4366.2696153846155,26
1718,A16.007,5,,93.52511627906976,2273.4965116279072,1801.472558139535,6488.05023255814,43
1721,A16.007,6,,200.1178787878788,3070.550303030303,2281.2660606060604,8106.185151515151,33
1734,A16.008,3,,83.93512195121951,1120.0804878048782,1511.58,4883.493170731707,41
1736,A16.008,5,,63.940303030303035,2053.2645454545454,1363.9766666666665,5116.671818181819,33
1739,A16.008,5,33.2403,242.93190476190475,3090.657142857143,1268.4528571428573,6527.846666666666,21
1744,A16.008,6,,437.86386138613864,2765.2772277227723,1825.2458415841584,8111.796831683168,101
1814,A16.020,6,33.2702,588.5056,7275.22,1703.0051999999998,12452.7708,25
1862,A16.200,3,,238.43455555555556,3931.856111111111,2603.1312222222223,12031.25688888889,90
1869,A16.200,5,,95.05178571428571,2196.2286904761904,1518.4988095238095,5491.364404761905,84
1891,A16.200,6,,134.90755000000001,1668.90355,1291.3464999999999,4327.2331,200
1900,A16.200,6,33.2400,190.85904761904763,2445.6228571428574,1285.852380952381,5304.861904761905,21
1902,A16.200,6,33.2403,497.0425714285715,4287.826285714285,2455.302285714286,10016.761142857144,35
1920,A16.200x,2,,80.65028846153845,1891.1759615384615,1732.722019230769,5272.8435576923075,104
1928,A16.200x,3,,105.6811186440678,1450.482847457627,1311.9457966101695,4351.262576271186,295
1931,A16.200x,3,33.2400x,99.66333333333334,3079.144444444444,1477.8208333333334,5409.568611111111,36
1932,A16.200x,3,33.2403,84.03466666666667,1831.1100000000001,1202.8023333333333,4456.545666666667,30
1957,A16.200x,5,,146.19021413276232,2246.1128693790147,1628.9567237687368,6227.353790149893,467
1969,A16.200x,5,33.2302,315.01279999999997,3124.7656,1695.5472,7448.556799999999,25
1970,A16.200x,5,33.2400x,287.97416666666663,3093.827777777778,1149.2941666666666,6288.1272222222215,36
1971,A16.200x,5,33.2403,189.8368,2556.295,1353.8757999999998,6869.8291,100
1979,A16.200x,5,34.0401,793.3881818181818,4073.259090909091,2270.3995454545457,10224.378636363637,22
2012,A16.200x,6,,212.46008284023668,3945.8935739644967,2835.374899408284,9494.494911242604,845
2013,A16.200x,6,03.3101,882.5632258064516,6494.209677419355,4112.914193548387,15714.854838709678,31
2036,A16.200x,6,33.2200x,220.0282389937107,8353.688364779873,5000.175723270439,16952.29855345912,318
2038,A16.200x,6,33.2302,296.51036363636365,4173.1563636363635,1945.8512727272728,9305.396181818182,55
2039,A16.200x,6,33.2400x,344.94216981132075,4840.615330188679,1614.707641509434,9395.244433962265,212
2041,A16.200x,6,33.2403,282.0398136645963,6761.868695652174,3771.1848033126294,13763.466459627329,483
2044,A16.200x,6,33.2600x,1011.1365625,4652.296875,1546.7434375,9387.465,32
2052,A16.200x,6,34.0401,376.9480172413793,8353.723275862068,5563.6088793103445,20099.133879310342,116
2060,A16.200x,6,34.9100,720.7594594594594,7635.886486486486,4509.363513513514,16612.337027027028,37
